creature_id,common_name,exclusion_reason
032b02e4-2890-5c76-bd77-80435e3e5ee1,Sangi Cardinalfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
03af6a3d-5816-5046-868f-e87e52134132,Miller's Damsel,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
042547cf-2420-5eae-8135-f513b3e6bdf8,Candystripe Wormfish,identity confidence is below the starter-pack threshold
042f8722-88e3-5fc2-8f26-66d00b546730,Dragon Moray,eligible but outside the deterministic 40-record starter-pack limit
047c8b8f-254b-573b-a888-cfdf300a983b,Red Snapper,eligible but outside the deterministic 40-record starter-pack limit
04b73ce8-ff43-52c9-a10e-87d282e3a6ad,Whiteblotched Grouper,eligible but outside the deterministic 40-record starter-pack limit
04c94bac-4519-5a1a-a0e5-5f9d50d9f43c,Whitemargin Unicornfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
04cbf9ce-2ac9-529d-b3cb-72e81dc79ef9,Blotcheye \dierfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
04ede08f-8c59-5bd3-af68-243d6ff8af78,Wirenet Filefish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
04ef296b-c734-55e7-be0d-ba371f0ff5f9,Wester Dragonet,identity confidence is below the starter-pack threshold
0513da5f-55ad-5bcf-9bd7-5d58c6a79ac8,Orange-spotted Grouper,account transcription confidence is not high; identification traits are not high-confidence transcriptions
052a5c62-b961-5a60-a49d-dc6d1c79a463,Gold-lined Squirrelfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; no identification trait transcription
053466e0-679c-570d-8108-5dcfa48f2282,Lacey Scorpionfish,eligible but outside the deterministic 40-record starter-pack limit
057a4730-aac2-5a14-8aac-5ac8b76e32a3,Mandarinfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
05c58fa8-0ba9-57d7-b86c-fe21b4cc88e5,OrangeHead Wormfish,identity confidence is below the starter-pack threshold
05c9e0f9-050e-5821-a2ca-ea677186a5e7,Golden-lined Snapper,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
05e52150-8860-5299-b822-835d2967f1a7,Blue-barred Ribbongoby,identity confidence is below the starter-pack threshold; account transcription confidence is not high; no identification trait transcription
05e77f13-d929-56f4-9097-9c9c8ffbe402,Quoy's Parrotfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
06651f71-18be-54dc-a02a-8607832d1bc8,2 Snubnose Grouper,account transcription confidence is not high; no identification trait transcription
066be4af-bd58-5dfd-b118-f6aee467b598,Hexagon Grouper,eligible but outside the deterministic 40-record starter-pack limit
0684fce8-0955-5ba0-859c-aa3673bcc694,Common Ghostgoby,account transcription confidence is not high; identification traits are not high-confidence transcriptions
06c5f50f-b983-5fac-92e2-62439530fdba,Giant Estuarine Moray,account transcription confidence is not high; identification traits are not high-confidence transcriptions
06e0c162-cc10-57ea-a765-f8b356a29210,Blackspotted \dierfish,identity confidence is below the starter-pack threshold
0749ae93-5364-52dc-a3e8-4414db9bf635,Indian Dascyllus,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
076e6a60-8638-5e4a-95c8-980f2905276b,,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identity is incomplete; identification traits are not high-confidence transcriptions
079407de-0554-5d7c-b078-6665aeedae53,Spotgill Longfin Devilfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
07ac0eaf-bf52-55a6-864b-cd1c9e4fa3ad,Milne Bay Demoiselle,account transcription confidence is not high; identification traits are not high-confidence transcriptions
07db83ae-9e3e-505c-945a-05b4fd83de72,,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identity is incomplete; no identification trait transcription
08020ee6-f8e6-5442-b240-bd6ebc4da0bf,Glasseye Bigeye,account transcription confidence is not high; identification traits are not high-confidence transcriptions
081a0542-4748-5883-ab40-c2c96fcb5fb4,Zebra Dartfish,identity confidence is below the starter-pack threshold; no identification trait transcription
081b6eca-5346-5a4a-ba7f-9e55e56a7ab7,Pearly Monocle Bream,identity confidence is below the starter-pack threshold
08d61847-f3b1-56a1-993c-c2c2fbe1f05f,Variegated Cardinalfish,identity confidence is below the starter-pack threshold; no identification trait transcription
08f8b803-5662-5828-bd5b-1ef43d0f5730,B Malabar Grouper,identity confidence is below the starter-pack threshold; account transcription confidence is not high; no identification trait transcription
093cefad-cf93-547e-bd71-9053b6f5f163,Blackcap Butterflyfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
094d1295-0561-54cc-a30c-d4a91004b637,Sargassumfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
095554b8-827a-59ab-9ded-bb321130adbf,Eared Blenny,identity confidence is below the starter-pack threshold
09735678-2f4d-51b8-a2eb-d5a6953e3d71,Lemon Coralgoby,eligible but outside the deterministic 40-record starter-pack limit
098cb8cb-624f-5788-91bc-eef649356522,Black Coral Goby,identity confidence is below the starter-pack threshold
0a1fb673-d20d-560d-bd75-3e10ab34ea45,Coral Rabbitfish,identity confidence is below the starter-pack threshold
0aa59113-0fe6-5f3a-9f19-c08b36be7ccb,Thinstriped Dottyback,eligible but outside the deterministic 40-record starter-pack limit
0b27ebf5-b4bb-588d-89fd-33d5699a0c63,Pinnate Spadefish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
0b6c1d9f-3011-5a59-a66b-8e3aa65146b4,Giant Grouper,eligible but outside the deterministic 40-record starter-pack limit
0b9e25b8-0e0e-5a2e-ba2d-f939cb9c05ae,Orangetip Bristletooth,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0ba171f4-631d-5cac-9d83-aa0e1c333475,Mauritius Scorpionfish,identity confidence is below the starter-pack threshold
0c2583fa-7f02-59ac-8223-76b28ff6d965,Papuan Jawfish,account transcription confidence is not high; no identification trait transcription
0c613fa9-d600-5134-89f8-9641291bc72f,Redhead Dwarfgoby,identity confidence is below the starter-pack threshold; account transcription confidence is not high
0c8de9d0-1b2c-5403-a82f-d68148e3905c,Randall's Devilfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
0ca5f3ac-ca77-5375-9429-ca7be145e23b,Bleeker's Parrotfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
0d001eef-bd23-5b44-9d46-6aaf504cea35,Indian Pinstriped Wormfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0d174396-5637-5cad-bcc3-be7afcef66e1,Achilles Tang,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0d3c9306-97da-5234-8d10-255c7bdadd97,Goldstriped Sweetlips,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
0d5576eb-5a1c-561b-97f2-648ac640c9dd,,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identity is incomplete; no identification trait transcription
0d98c143-e250-5d05-9f34-d52236fc60c9,Estuary Waspfish,eligible but outside the deterministic 40-record starter-pack limit
0dc6da64-a7a8-5ad9-a36e-fac980ee5dd5,Double-spotted Queenfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
0dcdf228-b9f9-5dc6-ada6-3206eb88aac1,,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identity is incomplete; no identification trait transcription
0dd03178-a273-509f-a1d8-8de46386a0c4,Lagoon Shrimpgoby,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0de44cde-50ca-5a0c-b39e-77cdb7db7e81,Manybar Goatfish,identity confidence is below the starter-pack threshold
0e5917e0-5826-5996-911b-6e32d34d80b8,Bartlett's Anthias,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0e9717ea-3b8e-55f3-b7f5-d3d4993e600a,Whitespot Damsel,identity confidence is below the starter-pack threshold; no identification trait transcription
0eb552ac-8e55-573d-af0f-a9d5c1afdb38,Imposter Fangblenny,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0efb6da7-1078-5f70-844b-b1b324969c2b,Sphynx Goby,eligible but outside the deterministic 40-record starter-pack limit
0f41f71a-78db-5204-94b9-8b4813756aee,Black-finned Snake Eel,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0f82238b-860a-5687-818b-04960e2a24d7,Coral Sea Gregory,identity confidence is below the starter-pack threshold
0fbc3d58-311e-5be0-b61c-f4da9ee649f1,Singapore Cardinalfish,eligible but outside the deterministic 40-record starter-pack limit
0fcaba8c-1b80-557a-bf12-65e2a3d4e75c,Diamond-scale Mullet,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0feabbe9-1c48-5d6c-ba10-da289b8f3b28,Ear-spot Pygmygoby,account transcription confidence is not high; identification traits are not high-confidence transcriptions
0ff2155b-4fb1-56dc-93c4-8e2622778307,Western King Wormfish,identity confidence is below the starter-pack threshold; identification traits are not high-confidence transcriptions
10121d30-981b-5060-b3f1-1d7d1c451251,Yellowbelly Cardinalfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1040d730-f310-50db-954c-d67f5c3714b8,Easter Island Butterflyfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1041322a-63b3-531c-a48b-f480d52e3fe6,Lady Musgrave Blenny,account transcription confidence is not high; identification traits are not high-confidence transcriptions
108a03f9-e007-59d4-80ab-2c49522d7659,Pygmy Seahorse,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
10a7c776-4c9c-5f5d-8e08-2a97bc5938a8,Spurcheek Cardinalfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
10ef58a3-c8db-50ed-8253-b830d86e6809,Urchin Siphonfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
10fee718-f32b-519c-948e-4162e10a166b,Borneo Dottyback,account transcription confidence is not high; identification traits are not high-confidence transcriptions
11114c07-c08b-5d58-b11c-75bc0f6f7aa5,Shortnose Boxfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
11845ac9-0987-5897-b8a5-8ca18ab86592,Goldstripped Wormfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
1193e8cd-2e4d-5964-abd6-5b9e27611647,Bluehead Tilefish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
11d7defd-4ebe-5ba1-aeba-81eef1aa1526,Spot-tail Butterflyfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high
11da2d83-d5da-56b5-9797-0f1476f77f2a,Gold-speckled Shrimpgoby,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
12000ecb-3487-5396-acd2-2eb0c0aee2ad,Mushroom Coral Pipefish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
120c9b09-274e-5a34-9a35-9efe54395805,Banded Flap-head Goby,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
12135912-59af-5b63-9015-67e636beea7c,Pinktail Triggerfish,eligible but outside the deterministic 40-record starter-pack limit
12288ab1-2fec-5b5b-86f4-56426aa2535b,Fourline Wormfish,identity confidence is below the starter-pack threshold; identification traits are not high-confidence transcriptions
1243acc2-ac01-5bcd-af9b-d3cb7fce670b,Timor Snapper,no identification trait transcription
12bf6758-aa79-5211-8d9b-dba6f021b6cb,Kuiter’'s Wormfish,identity confidence is below the starter-pack threshold
12e6e6b6-4996-5ad5-a182-7a8cfd656423,Clown Toadfish,identity confidence is below the starter-pack threshold; identification traits are not high-confidence transcriptions
12f76fa4-af23-503b-a2af-d58b413bc174,Bluestriped Fangblenny,account transcription confidence is not high; no identification trait transcription
133203c6-45dd-5eb1-ba72-d048c3299612,Stareye Parrotfish,identity confidence is below the starter-pack threshold; identification traits are not high-confidence transcriptions
1334f447-c6c8-54f2-8891-e6c011df2d77,Cheekspot Scorpionfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
13658e92-4b8d-502e-aa3a-ca46544c2738,Harlequin Tuskfish,eligible but outside the deterministic 40-record starter-pack limit
137242c1-9b1a-5fce-a070-1dcd6ba8f5da,Kodipungi Lionfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high
13aa5081-0135-5e62-b075-2cc15baa7b3d,Brownblotch Jawfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
13be6c26-e1d5-5334-9539-2c6e9eeea575,Yellowstripe Dwarfgoby,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
13c144f2-d192-5105-860c-309da8601078,Narrowstripe Cardinalfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
13ca035f-c683-500d-baae-727c6953f294,Blue-stripe Angelfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
13f68101-da25-5347-a00f-e7a4f692e95f,3anggai Cardinalfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high
1400f0a0-0341-5ae0-9fde-8ec7c11e3e41,Whitebar Surgeonfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
140a177c-9862-56d4-8c43-8ecef6dae135,Miracle Triplefin,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
140d18f0-dcef-564f-ad8c-965b1fb41871,Black-banded Snapper,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1410acdc-b1aa-5196-b9d6-b0eb85b9fef7,Bluesided Wormfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
1410fb17-8e94-5eb9-9b3b-eeabcd521f7f,Blue-barred Parrotfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
14548b26-3ece-526f-ab9c-ab5293546dbf,Giant Shrimpgoby,eligible but outside the deterministic 40-record starter-pack limit
1455aee1-b8a8-5caf-89f9-bd4e15c4d323,Lubbock's Blenny,account transcription confidence is not high; identification traits are not high-confidence transcriptions
14618857-6af4-517e-8c89-94074cc1ee33,,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identity is incomplete; no identification trait transcription
14e32c6d-1ec1-5f4f-994a-4ffd0dde187b,Graphic Tuskfish,eligible but outside the deterministic 40-record starter-pack limit
14e4ca40-2ced-5790-b43a-8662f86f0f8f,Orbicular Cardinalfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
14ec2f60-3934-5716-a5bf-10022ee21b6c,Threadfin Dartfish,eligible but outside the deterministic 40-record starter-pack limit
1522698f-ba51-51f7-90c7-5539e5fa7c02,Red-tipped Longfin Devilfish,eligible but outside the deterministic 40-record starter-pack limit
15280cc8-8b36-5c84-8870-a8765b4d4d4e,Floral Wormfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
153bb679-4036-503c-bdf5-660e99f1afb7,Stargazer,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
153f3de1-6de6-5c8d-8383-0a899ebcf699,Black-blotched ‘ingray,account transcription confidence is not high; identification traits are not high-confidence transcriptions
15c1ab5c-8353-5db2-8787-f7f6025d0dd2,Intermediate Cardinalfish,eligible but outside the deterministic 40-record starter-pack limit
15e09dc3-0c40-597f-a47a-cf801c797402,Estuarine ‘ingray,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1695d4a3-6635-5dda-9299-0d140a54fccb,Checkered Snapper,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
16da2aee-4491-55b7-a8e2-85e44c0b0dbc,Cinnabar Goatfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
171a8914-8501-5f22-bf9d-612c4763039b,Doublestriped Dottyback,eligible but outside the deterministic 40-record starter-pack limit
17532f45-593e-5a9d-8147-f0e6e0072f0c,Freckled Frogfish,eligible but outside the deterministic 40-record starter-pack limit
176416b5-8eae-5711-aac0-b051d20caf07,Long Filament Dragonet,identity confidence is below the starter-pack threshold; identification traits are not high-confidence transcriptions
176c8c3c-69f0-5c6a-9896-a39cb42670e2,Yellowlined Cardinalfish,eligible but outside the deterministic 40-record starter-pack limit
17811cfe-5cae-5221-91c4-8c5be82684b0,Streaky Rockskipper Blenny,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
17a3c302-bdbf-5761-a198-217c802baa89,Manyline Basslet,eligible but outside the deterministic 40-record starter-pack limit
17ac75e3-9f5b-5840-9208-d0cee6f567c9,Festive Parrotfish,eligible but outside the deterministic 40-record starter-pack limit
17ae0d04-6f6b-5f88-973a-8f7b63c12e43,Anda Cardinalfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
17c4dd40-21b9-51ae-bef0-f8e93a4b7c0c,Saddled Butterflyfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
17d78915-7e7a-50d8-a622-98f9b9e26191,Scheele’s Conger Eels,identity confidence is below the starter-pack threshold
17e10200-b12b-5a5e-bbc4-fd7768b3664d,] Masked Grouper,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1849a9a1-0117-5ab2-b5c3-b974a6d4f3f9,Blackspot Triplefin,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
1865a0db-35e7-5fa7-9a07-ae3f5ae2ec95,Spotted Unicornfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
186b7c89-8e8d-559f-b7dc-0a5c5feef0ba,Yaeyama Blenny,eligible but outside the deterministic 40-record starter-pack limit
186cd671-2be8-5a1a-8a73-a953fa9ea1b1,Clouded Lizardfish,eligible but outside the deterministic 40-record starter-pack limit
18a2db4b-5edb-552b-98e3-fb681516609c,Twofin Flashlightfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
18c24f1c-cfe0-539d-8491-dba803f0fc5c,Smooth Fangblenny,identity confidence is below the starter-pack threshold
18f447e6-6ccb-5fe7-8e42-53fd93ce0e8d,Chevroned Butterflyfish,account transcription confidence is not high
19167860-c997-5f42-87e1-ee5dd810a185,Shark,eligible but outside the deterministic 40-record starter-pack limit
19693f3a-233b-5e40-81ce-bbdcf7bfe523,Dashed-line Blenny,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
19699253-6a4b-5659-909a-9fc41dfb3522,Argus Wormfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
198f4c8b-5bb5-5443-a54c-cd00c7a66c7d,Pearlspot Chromis,account transcription confidence is not high
19b41ef9-f899-5cb6-9921-1da6decf8359,Enigmatic Moray,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
19cfd51a-0241-57a4-9c1d-6266c0cb4d3c,Bandfin Frogfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
19ebab8a-258b-5199-be92-e50a5cd83ba2,Sandbar Sergeant,identity confidence is below the starter-pack threshold
1a48eab4-5a5e-5dd6-80f6-2683a071ba0b,Longfin Perchlet,eligible but outside the deterministic 40-record starter-pack limit
1a4d2ed5-661e-54ea-babc-90346c70bd83,Saddleback Anemonefish,identity confidence is below the starter-pack threshold
1a72b30d-2d8f-57a0-903d-5ec9039724e2,Colombo Damsel,identity confidence is below the starter-pack threshold
1a82da15-99a1-5a40-84c4-f379b8b87dc9,Cobia Clingfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1a8b0b91-5616-5fa3-ac31-0c08685bad36,Whitespot Cardinalfish,no identification trait transcription
1af04763-7e8e-5734-9d15-ca4d5819edf6,Eclipse Parrotfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
1afd6043-954c-5aee-a6fd-cdb1a808381d,Shortfin Lionfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high
1b0d09d9-544f-56be-86ff-8449df3bb56a,,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identity is incomplete; no identification trait transcription
1b18cde6-8227-5ae4-8559-385d09a12a7b,Flame Anthias,eligible but outside the deterministic 40-record starter-pack limit
1b2af892-dcf8-5476-ba87-54b29f7ded87,Andaman Triplefin,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1b5a82d9-c4e1-58c7-ac20-7fc9a968f69e,Spiny Flathead,eligible but outside the deterministic 40-record starter-pack limit
1b6a0c05-eef3-52f7-b107-bfb99e9dcb6c,Mosaic Moray,eligible but outside the deterministic 40-record starter-pack limit
1bb0b6b9-1bd1-5aec-a7dd-1f99a4ea0e43,Pink Dottyback,eligible but outside the deterministic 40-record starter-pack limit
1bbcc1ed-f5d1-53a0-920d-1fb8c6f43659,Powderblue Surgeonfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1bc67304-e696-5007-8211-101d8e42247a,Reef 2edlefish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1c1d3290-149c-52f2-8b26-42482b6b61be,Saddled Shrimpgoby,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1c357276-b569-5bf7-86f0-11b20716cffb,Superb Dragonet,identity confidence is below the starter-pack threshold
1c610332-adab-512a-bdd5-d1c7669d50aa,Blue-girdled Angelfish,identity confidence is below the starter-pack threshold
1cb55dde-2022-58f4-be69-41342823e042,Pearly Dartfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1cef7d51-e7ed-5153-839f-555ab9e728fd,Clearfin Lizardfish,eligible but outside the deterministic 40-record starter-pack limit
1d0a742f-2143-5447-bf83-e791b2f92588,Banded Damsel,eligible but outside the deterministic 40-record starter-pack limit
1d261790-6fa0-5a02-bcec-4e1596eabd4c,Whale Sergeant,eligible but outside the deterministic 40-record starter-pack limit
1d3e78d8-05df-5778-af5b-6568f1847926,Bearded Filefish,eligible but outside the deterministic 40-record starter-pack limit
1d3ecbd3-f4ca-5b53-b4a8-6bbc75f1ab17,Blackstripe Fangblenny,account transcription confidence is not high; no identification trait transcription
1dc14e25-e6aa-519c-903b-461de2d4daba,Celebes Wormfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
1dc9ce95-89cf-5477-a8a7-d2bac7842b1d,Solor Wormfish,identity confidence is below the starter-pack threshold
1dff4911-9bc2-519b-ab00-32ee2d0e084f,Sunset Anthias,eligible but outside the deterministic 40-record starter-pack limit
1e03732f-544a-50c9-97a6-6901b7283aa2,,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identity is incomplete; no identification trait transcription
1e10cf2d-3b49-5bf7-a2ef-4a59aa10c916,Bluestreak Fusilier,eligible but outside the deterministic 40-record starter-pack limit
1e47ce96-2cae-52ff-b122-eace100e73a2,Blackspot Snapper,eligible but outside the deterministic 40-record starter-pack limit
1e597d16-a5bd-5305-b531-a82d8066d757,Jagabond Butterflyfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1e742610-0e6d-5610-8be7-a3cd4f6b1936,Vermiculated Angelfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1e867b08-420f-5d06-abeb-6a45377e5159,Blue Triggerfish,eligible but outside the deterministic 40-record starter-pack limit
1eb658a5-9530-5575-9e6b-ca78d2786df1,Squarebelly Pygmygoby,eligible but outside the deterministic 40-record starter-pack limit
1ed69ae9-7908-5c6c-a862-fb0c44624635,Talang Queenfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1eddfcd4-425d-5bfa-8a5d-b97f12a32213,Giant Frogfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
1f412c7c-6a08-5d6d-8daa-372a2d8ca46b,Otfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1f44e1ce-3010-581a-89a0-3fbc2566afc1,Marquesan Parrotfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
1fadcc3a-3a5b-50ed-b849-e4207e674c8d,Blacktip Shrimpgoby,identity confidence is below the starter-pack threshold; account transcription confidence is not high; no identification trait transcription
1fe0efc9-aee1-50d4-9060-ce8fc6fbbf25,Black Cardinalfish,eligible but outside the deterministic 40-record starter-pack limit
2041c3c9-3cc3-5ef1-aca1-4b75c3986724,Redfin Wormfish,identity confidence is below the starter-pack threshold
204faa4f-48e4-554f-a24a-64711ec1042d,Wide-band Anemonefish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
20534d3f-c1b8-5654-8fb8-c233e035a783,Silver Sweetlips,account transcription confidence is not high
206f5575-0285-54b3-a715-7b7c37e92fe6,Weedy Scorpionfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high
208f16bc-c664-579e-92aa-7cab8f789bf1,Humphead Bannerfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
20b90bc2-1db6-53c6-b342-c148addee7f5,Orbicular Goatfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
20d5f885-1f4a-5a26-ac5e-76198d3c480a,Collared Razorfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
20e5be0e-fe6c-55c6-ab19-09d8f8f8a99f,Silver Grunter,eligible but outside the deterministic 40-record starter-pack limit
20fb663d-92f7-5e53-bbeb-95213268048b,Mangrove Cardinalfish,account transcription confidence is not high
2120786b-bcb6-5418-83b9-5e3447239900,African Pompano,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
21301045-bf09-5ccf-844a-786d220d901d,Micronesian Tubelip Wormfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
213631b4-5ddc-5d40-98d3-3dee5cf58100,Yellow Tilefish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
