workbook_row,creature_id,common_name,scientific_name_printed,outcome,reasons,workbook_human_review_required,source_id,source_book_page,source_pdf_page,source_tile,identity_confidence,identity_confidence_score,text_transcription_confidence,source_title_common_ocr,source_title_scientific_ocr,identification_evidence
15,697e7945-2085-50d5-971a-91add36181c7,Wahoo Velvetfish,Acanthocybium solandri,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-D7359D56,131,132,tl,high,92.5,medium,,,"ID: Silver; long slender body with dorsal and anal finlets and elongate pointed snout; occasionally display wavy-bar pattem Solitary or in pairs. Pelagic, but occasionally pass near reefs."
16,21428b76-dee9-55d3-b5b8-6eb69246403d,River Seabream,Acanthopagrus berda,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-7329CC0C,121,122,br,high,100,medium,,,"ID: Silvery gray to black or olive brown with brassy reflections lighter gray to whitish on belly and chin. Solitary or form groups. Coastal reefs and muddy estuaries, occasionally enter freshwater streams."
17,0d174396-5637-5cad-bcc3-be7afcef66e1,Achilles Tang,Acanthurus achilles,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-7CDE9F12,45,46,bl,high,100,medium,,,"ID: Dark to navy blue; large orange teardrop on rear body, white edge on gill cover, and white band at base of dorsal and anal fins, middle of tail orange. Solitary; territorial and aggressive. Surge zone to 4m."
18,af3278f2-a161-51be-9088-bb410b71e8ac,Whitefin Surgeonfish,Acanthurus albipectoralis,included,,True,SRC-580BA2DF,50,51,ml,high,100,high,,,"ID: Dark gray to nearly black, except for white outer half of pectoral fin. Solitary or form small groups; feed on plankton high above bottom. Steep outer reef slopes in 5-20 m."
19,acae4d27-0ee6-5311-a7ab-9a4532beb3bf,Orange-Socket Surgeonfish,Acanthurus auranticavus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-B53C84E7,49,50,ml,high,100,medium,,,"ID: Head brown without spots; body finely lined with purplish blue and dark olive brown stripes; orange ring around eye ogange border encircles tail spine, dark band behind upper gill cover. Form small groups. Lagoons and outer reefs to 20 m."
20,febfe7d3-75c4-56ea-9c7c-89749099b5b4,Roundspot Surgeonfish,Acanthurus bariene,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-24031742,48,49,mr,high,100,medium,,,"ID: Brown to yellowish brown with yellow dorsal fin, and white lips; yellow bar behind gill cover, round black spot behind eye. Solitary or in pairs. Clear seaward reefs in 6-50 m."
21,c4324fdc-688d-5da3-9fa0-5a3e4c6c4864,Ringtail Surgeonfish,Acanthurus blochii,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-056E6BD2,49,50,bl,high,100,medium,,,"ID: Dark blue to brown; narrow blue margins on dorsal, anal fing around base of tail. Form schools; graze on algae, Lagoon and outer reef in 2-16m."
22,5e247efe-3b89-56a7-81be-13dd291ad573,Eyestripe Surgeonfish,Acanthurus dussumieri,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-9F1D7844,48,49,ml,high,100,medium,,,"ID: Bluish to brownish body with horizontal line markings yellow stripe through eye, tail blue with numerous black spots. Solitary or form small groups. Seaward reefs in 9-131 m."
23,5c8427c1-cb07-545d-803d-83dd092db6c8,Blackspine Surgeonfish,Acanthurus fowleri,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-78D435B7,49,50,tl,high,93.1,medium,,,"ID: Blue head and brownish body; arc-shaped marking behind head, heavy black margin encircles tail spine. Solitary or w pairs; often graze on algae growing on sponges. Outer reef areas in clear water in 10-45 m."
24,870f67f1-4d68-5fe7-b351-a7162a7e3440,Fine-lined Surgeonfish,Acanthurus grammoptilus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-D95BA80D,49,50,tr,high,100,medium,,,"ID: Brown body with fine wavy blue lines; yellowish band through eye, black margin on tail spine, bluish cheek with small orange spots. Solitary or form groups. Inshore reefs in 2-20m."
25,4f2f87f1-11d4-5d2c-8e62-c1d8cbbcaec5,White-spotted Surgeonfish,Acanthurus guttatus,included,,True,SRC-C412A5E2,45,46,br,high,100,high,,,"ID: Darkish with numerous white spots or streaks rear body white bar behind eye and behind pectoral fin, yellowish foretail. Usually form groups. Surge zone to 4 m."
26,7684bd30-e4a2-57dc-bd72-ed6d0f7e9a08,Japanese Surgeonfish,Acanthurus japonicus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-523D27B9,47,48,ml,high,100,medium,,,ID: Yellowish brown to dark blue becomes yellow on extreme rear body; white patch fram lips to eye; white tail. Solitary or form smail groups. Clear lagoons and outer reef in 2-12 m.
27,72c9d5d0-47b8-540d-87cf-b4f31e15f342,Pale-lipped Surgeonfish,Acanthurus leucocheilus,included,,True,SRC-6556768A,49,50,mr,high,100,high,,,"ID: Brown; pale lips and pale band on chin; yellow sub-border on pectoral fin, white tail spine. Solitary. Near dropoffs on seaward clearwater reefs in 4-30 m."
28,1400f0a0-0341-5ae0-9fde-8ec7c11e3e41,Whitebar Surgeonfish,Acanthurus leucopareius,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-C02ACEA6,46,47,tl,high,100,medium,,,"ID: Tan with thin dark stripes; white bar behind eye bordered by two dark bars. Form schools. Rocky, boulder-strewn areas of surge in 0-10 m."
29,1bbcc1ed-f5d1-53a0-920d-1fb8c6f43659,Powderblue Surgeonfish,Acanthurus leucosternon,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-0F4EAD51,47,48,tr,high,100,medium,,,"ID: Black head and blue body, yellow dorsal fin, white ventral anal and tail fins; white patch below mouth extending to pectoral fin. Form large feeding groups. Inshore and outer reefs to 25 m"
30,9353ee92-eaa7-5bcb-b2f8-8b3a0577d5b4,Striped Surgeonfish,Acanthurus lineatus,included,,True,SRC-A12D3C83,48,49,bl,high,100,high,,,"ID: Gold underoolor with numerous black edged blue stripes and bluish belly, yellow ventral fins; bright blue margins on most fins. Solitary: territorial and aggressive; tail spine venomous. Outer edge of reefs to 6 m. - $,W. Japan to Great Barrier Reef and New Caledonia. 48"
31,2cb9a370-a27f-5b22-96da-d71b41956004,Palette Surgeonfish,Acanthurus maculiceps,included,,True,SRC-78D129A7,50,51,tl,high,100,high,,,"ID: Black head with numerous white spots and grayish body black streak behind upper edge of gill cover, black margin on tail spine, often a white ring around tail base. Solitary or form groups. Outer reefs to 15m."
32,4a5581a0-3608-5afc-ad59-6a3f43be3605,Yellowmask Surgeonfish,Acanthurus mata,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high,True,SRC-289145F4,47,48,bl,low,,low,,,"is) ‘Surgeontishes:- Acanthurktae deter upper lip yellowish; yellow through feed on sooplanktan. Inshore (often turbid) and © caer to 6-25 m, erates: Resi Gen and F, Altios to French Potynecta- Into- ‘SW. Japan t Groat Barrier Reef and New Caledonia."
33,5379e6a4-e10f-5321-b09e-b9fe5fa0961e,Whitebar Surgeonfish,Acanthurus nigricans,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high,True,SRC-4A5675E5,47,48,tl,high,95.8,medium,,,"WD: Dexk brown to navy blue or black, white tall with yellow bar; white patch below ays, white ring behind mouth, yefow Ine at base of dornal end endl fins, yellow tail spine, Solitary ot form groupe. Exposed resis to 40m. Mast Indin. Darifier Chrictmine T tn Tarinnasia. Micrmaats and"
34,4c541d71-90e9-5f9e-ab57-54039aa093ce,Blackstreak Surgeonfish,Acanthurus nigricaudus,included,,True,SRC-E7AA4861,48,49,br,high,100,high,,,"ID: Pale to dark brown or gray; long black bar behind eye to above pectoral fin, thin streak on rear body to tail spine. Solitary or form small groups. Usually over sand near coral or Tock outcrops in 3-30 m."
35,b6e817e3-7c9c-51ed-a8ce-192bc9adb7d6,Brown Surgeonfish,Acanthurus nigrofuscus,pending_review,account transcription confidence is not high; no identification description,True,SRC-F9F96A21,50,51,tr,high,100,medium,,,
36,d3034aa0-2a04-56a2-bd6c-9f5d0056f824,Blue-lined Surgeonfish,Acanthurus nigroris,pending_review,identity confidence is below the inclusion threshold,True,SRC-E1A85184,47,48,mr,high,94.4,high,,,"ID: Dark to pale binish brown with nnmerous fine. ‘deak spot on zear base of dorsal and anal fins. Solitary o¢ sxthall groups, Clear lagoons and: ‘seaward reeis 10 90 mi."
37,bd8e2fa5-6f2b-5d12-ab95-d980722bd16a,Dark Surgeonfish,Acanthurus nubilus,included,,True,SRC-F0C67CB4,47,48,br,high,100,high,,,"ID: Bluish with numerous blue spots and wavy lines; lower head profile rounded (lower head profile is fattened in most surgeonfishes), Solitary or form small groups; feed on zooplankton. Steep outer reef slopes in 20-90 m."
38,b932ea57-be9a-54c9-9036-656dc49e5e2e,Orangeband Surgeonfish,Acanthurus olivaceus,included,,True,SRC-3BEEF34E,45,46,ml,high,100,high,,,"ID: Light gray head and forebody, dark gray behind; btue- edged elliptical orange hand behind upper gill cover. Solitary or form groups. Over sand bottoms near reefs in 3-45 m."
39,89ad863a-8f3d-5754-bee9-0692e0332c38,Mimic Surgeonfish,Acanthurus pyroferus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-3C5BE699,46,47,tr,high,100,medium,,,ID: Brown; curving black band from chin to upper edge of gil cover; orange patch above pectoral fin base. Usually solitary. Lagoon and seaward reefs in 4- 60 m.
40,c3d73387-fd24-5bac-ba2c-4a740966e03c,Tennent's Surgeonfish,Acanthurus tennenti,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high,True,SRC-B998C0E0,49,50,br,low,,low,,,"1D: Brownish ot aoa black streaks bebiad appr ‘edge of il gill cra Hurt tect hove vel patch emuud tat Seward esa i —_Inetfaii Odean: . Afrion to Anidantan 904 and Ball in indontisia, 49"
41,7866cead-7761-5da5-aa44-75d434cdeecf,Whitetail Surgeonfish,Acanthurus thompsoni,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-8FBF85D1,48,49,tr,high,100,medium,,,"ID: Dark brown changeahle to pale bhuish gray, white tail base may display stripe pattem: body more slender than most surgeonfishes. Form groups; feed on zooplankton high above the bottom. Seaward reef slopes and steep drop-offs in 4-75 m."
42,2ac7a63e-58ee-5e5b-a222-40e638be8fc6,Convict Tang,Acanthurus tniostegus,pending_review,account transcription confidence is not high,True,SRC-DC62A7D1,50,51,mr,high,100,medium,,,ID: White with 5-6 black bats on head and boity. Often feed ‘in lenge groupe: Usually on shallow rests to 5 mi
43,ca1f8cd6-e40b-54ec-97d2-7d40e425c304,Indian Mimic Surgeonfish,Acanthurus tristis,included,,True,SRC-AE2AACC6,46,47,bl,high,100,high,,,"ID: Gray face and tan to dark brown body; curving black band from chin to upper gill cover, black patch above pectoral fin base, white margin on tail, Usually solitary. Lagoon and outer reefs in 2-30 m."
44,dbdc05f5-8caa-5647-b256-e3f8ab249254,Yellowfin Surgeonfish,Acanthurus xanthopterus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-04380013,48,49,tl,high,100,medium,,,"ID: Blue to grayish brown, yellow to yellowish pectoral fins yellow band passes through eye, frequently a white ring around tail base. The largest surgeonfish. Solitary or form groups. Sandy areas near reefs in 15-90 m."
45,aa94b0d9-fa51-5bde-96a4-0330dbdb0ad7,Mangrove Goby,Acentrogobius janthinopterus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-774A302A,316,317,bl,high,100,medium,,,"ID: Light gray-brown with dark brown spots and gold flecks; sub-marginal band on tail. Mole - Elongate 1st dorsal fin filaments. Solitary. Estuaries and brackish lakes, often in Mangroves to 5 m."
46,c21fc700-43e7-5b1a-a1ea-6196688ca3de,Short-bodied Pipefish,Acentronura breviperula,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-31112E15,425,426,ml,high,100,medium,,,"ID: Brown to nearly black with white speckling; slightly expanded seahorse-like “chest,” pale snout, skin flaps of various sizes and shapes on head and body. Solitary or in pairs. Sparse seagrass near sheltered reefs to 20 m."
47,3286df61-f679-5760-8440-d5e94b5805a2,Radial Filefish,Acreichthys radiatus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-C5141041,414,415,tr,high,100,medium,,,ID: Mottled brown and gray with irregular white line markings numerous short skin laps on bedy and first dorsal fin. Solitary frequently near soft corals. Coastal and lagoon reefs in 2-12 m.
48,7c4956f2-2a9a-5551-9d3d-a86b30525176,Blue-spotted Puffer,Acreichthys tomentosus,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-FDC1786E,414,415,ml,low,53.4,medium,,,"Mlee-Spatiod - Variation ID: Brown with only a few biue-spots, except.on fing; alternating light and dark rings around eye, network of line uadkings on back, Hack patch with white spots om pactoral | a tore eye, black patch with white spots on pectoral fin base. Solitary. ‘Seaward reef slopes in §-36 m."
49,75eecdb7-acca-5f5d-bf6c-8cf1916ff670,Trumpetfish,Aeoliscus strigatus,pending_review,identity confidence is below the inclusion threshold; identification descriptions are not high-confidence transcriptions,True,SRC-350F1CA3,401,402,tl,low,54.5,high,,,"1 trampet-like snout; commonly gray to ongate body with hyleiper teeter bearer ted ‘blackish tail base with white spots, ‘tail with 2 black ‘spote. Solitary. Insbore and seaward reefs to 122 m."
50,7185ade9-5a22-59e8-926a-016eb22ba6d2,Redmouth Grouper,Aethaloperca rogaa,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-4F9D907B,163,164,mr,high,100,medium,,,"ID: Dark brown to black, occasionally with orangish cast frequently with pale bar across abdomen; inside mouth red. Solitary. Usually inside or near caves or under ledges in coral- Tich areas of seaward reefs in 3-50 m."
51,9ce9fe05-f68a-590e-8726-dce87e9af7c4,Spotted Eagle Ray,Aetobatus narinan,included,,True,SRC-0B5ACD6A,457,458,ml,high,100,high,,,"ID: Gray-brown to neaity black with numerous white spots and white underside; nearly tiangular disc or “wings” with protruding head and long slender tail with single spine, Solitary. Open water of coastal, lagoon and outer reefs in 1-80 m."
52,30ea96d8-1c04-56d4-9e48-3b7c6aab034e,Rao’s Dartfish,Aioliops megastigma,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-C5558740,284,285,tr,high,100,medium,,,"ID: Yellowish head, mauve back and brown lower side bluish belly: black stripe along back and large black spot on tail. Form groups that hover over coral thickets. Sheltered shoreline and lagoon reefs in 2-10 m."
53,f1f54683-f254-5017-a4e9-47b8392d65d8,African Pompano,Alectis ciliaris,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-0AF2BD23,124,125,tl,high,84.7,medium,,,"ID: Silver, often have bluish or greenish tints; deep body with steep head profile and deeply forked tail; scales not obvious. Young form schools, large adults often solitary. Pelagic; often near dropoffs to 100 m."
54,3f2ead80-021b-57cf-a231-4acaf7367b56,White-belly Damsel,Altrichthys azurelineatus,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high,True,SRC-2CAA6712,63,64,bl,low,,low,,,"ID: Whitish with narrow silver streak on oadk scale, joitting to form narrovs lines; black margin on dorsal fin and borders of ‘tail, Adults in pains; guard broods of 20-100 babies; yorng forma groupe. Shelkared neefs. coral in.2-8 im."
55,64bb45ea-b8cb-51f5-b127-144bbc4cc6f2,Guardian Damsel,Altrichthys curatus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-A73528AF,63,64,br,high,100,medium,,,ID: Whitish to pale green or olive; narrow silver streak on each scale join to form narrow lines. Aduits in pairs; guard broods of 20-100 babies; young form groups. Sheltered reefs in 2-10 m.
56,3b47f5bb-0165-5c72-87eb-c2ed3aa6d937,Unicorn Filefish,Aluterus monoceros,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-EC5A7FA0,409,410,mr,high,100,medium,,,"ID: Gray with faint spotting; tall slender 1st dorsal spine. Juvenile - Reticulate pattern of pale lines and gray blotches. Solitary; usually in open water, often around floating debris. Outer reefs to 80 m."
57,931c4cf3-78fd-5699-9127-c683934f30d0,Scrawled Filefish,Aluterus scriptus,included,,True,SRC-4A1CDDBA,409,410,ml,high,100,high,,,"ID: Mottled to nearly uniform shades of gray to brown to olive; irregular blue spot and line markings and black spots tall slender first dorsal spine. Solitary. Coastal, lagoon and outer reefs in 2-80 m."
58,5e8bbbf9-aed7-530e-894d-58494fbef5ec,Broom Filefish,Amanses scopas,included,,True,SRC-9B617BBB,409,410,tr,high,100,high,,,ID: Dark brown with black tail; several blackish bars on mid- side. Males - Patch of long black spines in front of tail hase. Females - Patch of short bristles in front of tail base. Solitary or in pairs. Seaward reefs in 3-18 m.
59,ce4fb4a5-400a-5df6-a564-6209fb322131,Largespined Glassfish,Ambassis macracanthus,included,,True,SRC-CB839772,267,268,br,high,100,high,,,ID: Translucent with narrow dark scale margins and silvery reflections on head and belly region. Form aggregations. Near stream mouths of coastal waters to 4 m.
60,836e7a55-0a3a-502c-992f-b07d94c075f7,Twinspot Hawkfish,Amblycirrhitus bimacula,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-3FE335B8,167,168,tl,high,100,medium,,,ID: Whitish undercolor with imegular brown bars; pale-edged black spots under rear dorsal fin and on gill cover. Solitary and cryptic. Caves and crevices of seaward reefs in 2-20 m.
61,22f6fb26-42df-5301-8e88-0a193795c0d2,Arcfin Shrimpgoby,Amblyeleotris arcupinna,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-614545A5,303,304,tl,high,100,medium,,,"ID: Tan with 5 brown bars with diffuse edges; arc-shaped mark on first dorsal fin, dark wedge-shaped mark below eye often dark brown speckling on back. Share burrow with alpheid shrimp. Sand bottoms of lagoons and sheltered reefs in 10-30 m."
62,5b8e4033-b73d-55a8-97d8-f50feb237262,Eyebrow Shrimpgoby,Amblyeleotris diagonalis,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high,True,SRC-6AB0A42A,302,303,br,low,60.8,medium,,,sp: Palo ten with Sreddish brown bars; hewn apocting oo Sesceusameaar on. 1 wa shrimp. Coastal sand slopas in 7-25 m. reali rin areas
63,6c97e514-395d-5f01-a4b1-d11e0cc60de4,Red-banded Shrimpgoby,Amblyeleotris fasciata,pending_review,account transcription confidence is not high; no identification description,True,SRC-FA557E9B,304,305,tl,high,100,medium,,,
64,14548b26-3ece-526f-ab9c-ab5293546dbf,Giant Shrimpgoby,Amblyeleotris fontanesii,included,,True,SRC-57FEF4B5,303,304,ml,high,100,high,,,"ID: Large, about twice the length of similar species; white with 5 brown bars; small orange spots on head. Share burrow with alpheid shrimp. Sand bottoms of lagoons and sheltered reefs in 5-30 m."
65,859c9526-abb0-518f-a3f4-62883e31fd67,Nakedhead Shrimpgoby,Amblyeleotris gymnocephala,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-1A0A75F8,302,303,bl,high,100,medium,,,"ID: Tan with 5 brown diffuse bars on side; dark markings on back between bars, may display dark brown stripe behind eye and thin brown bar below eye. Share burrow with alpheid shrimp. Lagoons and seaward slopes in 5-35 m."
66,368ce0a4-9c3f-59e7-96e0-7fce888df4a6,Wide-barred Shrimpgoby,Amblyeleotris latifasciata,included,,True,SRC-2FA1D0BA,304,305,mr,high,100,high,,,"ID: Brown, may have 3-4 broad dark bars; bluish spots on head, orange spots on body, pale-edged orange spots on Ist dorsal fin and on tips of 2nd. Share burrow with alpheid shrimp. Sand bottoms of lagoons and seaward reefs in 5-40 m. | ID: Brown, may have 3-4 broad dark bars; bluish spots on head, ale-edged orange spots on: 1st stainap. Sand bottoms of lagoons and seaward reefs in 5-40 m,"
67,47231fc4-5ce8-50ef-9c76-33e00a6e107a,Broad-banded Shrimpgoby,Amblyeleotris periophthalma,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-7FEDE745,303,304,br,high,100,medium,,,"ID: Tan with six dark brown bars on head and side; irregular brown blotches between bars, dark-ringed orange spots on head. Share burrow with alpheid shrimp. Sand bottoms of Jagoons and seaward slopes in 3-35 m."
68,4d6ab6cf-33e7-53fc-8d1a-d019f60f25f5,Volcano Shrimpgoby,Amblyeleotris rhyax,pending_review,no identification description,True,SRC-4CE53DBA,304,305,tr,high,100,high,,,
69,66b2de30-4554-5954-a71d-5f4abb7519f9,Redbarred Shrimpgoby,Amblyeleotris steinitzi,pending_review,identity confidence is below the inclusion threshold,True,SRC-E52A49C4,302,303,ml,low,58,high,,,"‘WD: Tan with 5 reddish brown tail; black Iodide wth ng spc oro ce a dompal fins. Share burrow with alpheid shilimp, Send’bottams of lagouis and sheltered coastal reets in 12-96 rm,"
70,c916c581-d440-53dc-84f3-82f5f9af7d49,Gorgeous Shrimpgoby,Amblyeleotris wheeleri,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-C5807C98,304,305,ml,high,100,medium,,,"ID: Six dark red bars with yellowish spaces between scattered red spots on head and blue spots on body, blue- edged red stripe on anal fin. Share burrow with alpheid shrimp. Lagoon and outer reef slopes in 2-28 m."
71,7ddc13bb-135a-5678-a105-67e3ceb4120f,Staghorn Damsel,Amblyglyphidodon curacao,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-05746223,62,63,ml,high,100,medium,,,"ID: Pale greenish to whitish with three wide, dark green bars mid-body may be yellow. Usually form groups. Commonly shelter among branches of staghom Acropora coral on coastal reefs, lagoons and outer slopes to 15 m."
72,0ed08b3f-ca79-51f3-9a4e-d945c0201e84,Green Damsel,Amblyglyphidodon indicus,included,,True,SRC-0A3D2741,63,64,tr,high,100,high,,,"ID: Green upper body gradating to gray or yellowish below Rartow dark borders on tail. Long considered a variation of White-belly Damsel, but is an undescribed species. Solitary or form small groups. Near shore and outer reefs in 5-45 m."
73,4932a8c9-6671-585a-b0e9-5d5b6f21d28e,White-belly Damsel,Amblyglyphidodon leucogaster,pending_review,account transcription confidence is not high; no identification description,True,SRC-83F3E042,63,64,tl,high,100,medium,,,
